gene_id	TCGA-E9-A1RD-01A-11R-A157-07	gene_id	TCGA-E9-A1RD-11A-33R-A157-07
AHNAK|79026	30989.387	AHNAK|79026	186906.4346
AHRR|57491	25.2139	AHRR|57491	11.1906
AHR|196	2476.362	AHR|196	2455.7041
AHSA1|10598	1388.3064	AHSA1|10598	1284.4265
AHSA2|130872	762.8481	AHSA2|130872	599.627
AIDA|64853	1583.6547	AIDA|64853	2369.9565
AIF1L|83543	382.3246	AIF1L|83543	2812.2474
AIF1|199	345.0183	AIF1|199	501.088
AIFM1|9131	1610.8574	AIFM1|9131	889.6487
AIFM2|84883	275.2943	AIFM2|84883	2620.7647
AIFM3|150209	5.9175	AIFM3|150209	8.1567
AIG1|51390	622.1136	AIG1|51390	1240.286
AIM1L|55057	11.8351	removed	removed
AIM1|202	2675.5001	AIM1|202	3300.9015
AIM2|9447	22.641	AIM2|9447	10.8797
AIMP1|9255	1226.3331	AIMP1|9255	1011.5574
AIMP2|7965	365.7426	AIMP2|7965	285.6108
AIP|9049	412.4268	AIP|9049	715.5735
removed	removed	AJAP1|55966	11.1906
AK1|203	521.0008	AK1|203	839.913
AK2|204	2109.4745	AK2|204	2008.3929
AK3L1|205	125.8121	AK3L1|205	589.9907
AK3|50808	1180.1634	AK3|50808	2718.682
AK5|26289	221.2646	AK5|26289	621.3864
AK7|122481	12.0924	AK7|122481	20.2052
AKAP10|11216	713.9641	AKAP10|11216	567.2987
AKAP11|11215	1331.9612	AKAP11|11215	2402.549
AKAP12|9590	409.3394	AKAP12|9590	8691.949
AKAP13|11214	2621.9849	AKAP13|11214	3537.7681
AKAP1|8165	1661.7997	AKAP1|8165	3673.9198
AKAP2|11217	403.4296	AKAP2|11217	2433.64
AKAP3|10566	33.1897	AKAP3|10566	40.0995
AKAP5|9495	518.9426	AKAP5|9495	70.8735
AKAP6|9472	36.7917	AKAP6|9472	137.7059
AKAP7|9465	137.6471	AKAP7|9465	291.8869
AKAP8L|26993	572.715	AKAP8L|26993	525.9559
AKAP8|10270	637.8079	AKAP8|10270	463.7861
AKAP9|10142	5260.6934	AKAP9|10142	2249.3006
AKD1|221264	202.4828	AKD1|221264	142.3687
AKIRIN1|79647	1327.5873	AKIRIN1|79647	1317.6873
AKIRIN2|55122	514.826	AKIRIN2|55122	878.769
removed	removed	AKNAD1|254268	5.5953
AKNA|80709	333.9551	AKNA|80709	868.2002
AKR1A1|10327	2271.3064	AKR1A1|10327	1441.405
AKR1B10|57016	19.2963	removed	removed
removed	removed	AKR1B15|441282	61.548
AKR1B1|231	502.2191	AKR1B1|231	1204.8492
AKR1C1|1645	5.6603	AKR1C1|1645	7608.7411
removed	removed	AKR1C2|1646	6669.5679
AKR1C3|8644	75.6416	AKR1C3|8644	4670.1896
removed	removed	AKR1E2|83592	44.3519
AKR7A2|8574	1083.1672	AKR7A2|8574	941.5605
AKR7A3|22977	88.5058	AKR7A3|22977	12.7448
AKR7L|246181	16.7235	AKR7L|246181	6.8387
AKT1S1|84335	1164.9836	AKT1S1|84335	791.4206
AKT1|207	2681.4176	AKT1|207	2837.737
AKT2|208	2295.2338	AKT2|208	3701.8962
AKT3|10000	402.3927	AKT3|10000	1628.2251
AKTIP|64400	577.6291	AKTIP|64400	865.9683
