gene_id	TCGA-GI-A2C8-01A-11R-A16F-07	gene_id	TCGA-GI-A2C8-11A-22R-A16F-07
AHCY|191	5057.8983	AHCY|191	2366.0807
AHDC1|27245	914.6586	AHDC1|27245	2169.5967
AHI1|54806	397.925	AHI1|54806	169.0796
AHNAK2|113146	795.8501	AHNAK2|113146	433.2989
AHNAK|79026	40234.6051	AHNAK|79026	72539.8139
AHRR|57491	101.4056	AHRR|57491	630.817
AHR|196	5723.2262	AHR|196	563.0817
AHSA1|10598	1437.751	AHSA1|10598	2717.6836
AHSA2|130872	470.2142	AHSA2|130872	140.1241
AIDA|64853	1072.423	AIDA|64853	831.9959
AIF1L|83543	3814.257	AIF1L|83543	760.5998
AIF1|199	863.7885	AIF1|199	105.9979
AIFM1|9131	1353.079	AIFM1|9131	1892.4509
AIFM2|84883	170.0134	AIFM2|84883	253.878
AIFM3|150209	31.7938	lowly_expressed	lowly_expressed
AIG1|51390	997.992	AIG1|51390	619.9586
AIM1|202	449.7992	AIM1|202	200.6205
AIM2|9447	22.0884	lowly_expressed	lowly_expressed
AIMP1|9255	875.6961	AIMP1|9255	1579.5036
AIMP2|7965	412.9284	AIMP2|7965	1824.8242
AIP|9049	678.0455	AIP|9049	638.0558
AJAP1|55966	8.0321	lowly_expressed	lowly_expressed
AK1|203	495.3146	AK1|203	12187.6939
AK2|204	1766.0643	AK2|204	1783.3454
AK3L1|205	231.593	AK3L1|205	53.7746
AK3|50808	924.3641	AK3|50808	8612.7198
AK5|26289	126.1714	AK5|26289	13.9607
AK7|122481	76.6399	AK7|122481	5.1706
AKAP10|11216	527.7778	AKAP10|11216	275.5946
AKAP11|11215	1964.8594	AKAP11|11215	1196.484
AKAP12|9590	1283.4672	AKAP12|9590	2482.9369
AKAP13|11214	4677.0415	AKAP13|11214	5539.2968
AKAP1|8165	647.5904	AKAP1|8165	8573.423
AKAP2|11217	738.8487	AKAP2|11217	1904.2192
AKAP3|10566	14.0562	AKAP3|10566	26.3702
AKAP5|9495	109.4378	AKAP5|9495	5.6877
AKAP6|9472	163.3199	AKAP6|9472	9267.8387
AKAP7|9465	95.7162	AKAP7|9465	622.0269
AKAP8L|26993	661.9813	AKAP8L|26993	642.7094
AKAP8|10270	621.8206	AKAP8|10270	744.0538
AKAP9|10142	2565.5957	AKAP9|10142	4178.3868
AKD1|221264	296.1847	AKD1|221264	126.1634
AKIRIN1|79647	1000	AKIRIN1|79647	873.8366
AKIRIN2|55122	734.9398	AKIRIN2|55122	1722.8542
lowly_expressed	lowly_expressed	AKNAD1|254268	5.1706
AKNA|80709	583.3333	AKNA|80709	98.242
AKR1A1|10327	1681.3922	AKR1A1|10327	690.7963
