gene_id	TCGA-BH-A0HA-01A-11R-A12P-07	gene_id	TCGA-BH-A0HA-11A-31R-A12P-07
ALKBH5|54890	2277.5229	ALKBH5|54890	1765.5677
ALKBH6|84964	191.1168	ALKBH6|84964	55.9611
ALKBH7|84266	945.3786	ALKBH7|84266	394.1606
ALKBH8|91801	252.8122	ALKBH8|91801	409.5702
lowly_expressed	lowly_expressed	ALMS1P|200420	9.7324
ALMS1|7840	800.6494	ALMS1|7840	1190.5921
lowly_expressed	lowly_expressed	ALOX12B|242	5.6772
ALOX12P2|245	13.4524	ALOX12P2|245	82.7251
lowly_expressed	lowly_expressed	ALOX12|239	9.3633
ALOX15B|247	36.6462	ALOX15B|247	162.6115
ALOX15|246	19.9467	ALOX15|246	113.5442
ALOX5AP|241	195.7555	ALOX5AP|241	123.6821
ALOX5|240	221.2687	ALOX5|240	325.6285
ALOXE3|59344	22.266	ALOXE3|59344	28.7916
ALPK1|80216	440.6819	ALPK1|80216	1172.7494
ALPK2|115701	82.10600000000001	ALPK2|115701	6.8938
ALPK3|57538	111.3302	ALPK3|57538	60.0162
ALPL|249	251.8845	ALPL|249	821.9789
ALS2CL|259173	131.7407	ALS2CL|259173	465.1257
lowly_expressed	lowly_expressed	ALS2CR11|151254	11.3544
ALS2CR4|65062	510.7271	ALS2CR4|65062	2394.5661
